Canopy,MomID,OffID,Latitude,Longitude,G8,H18,N5,N10,O5,,,,,
ClosedCanopy,300,1,37.330502,-77.210056,162,172,116,124,126,126,192,200,195,195
ClosedCanopy,300,2,37.330502,-77.210056,154,162,96,116,126,126,200,200,195,195
ClosedCanopy,300,3,37.330502,-77.210056,162,164,112,116,126,126,-9,-9,181,195
ClosedCanopy,300,4,37.330502,-77.210056,154,162,96,116,126,126,198,198,195,195
ClosedCanopy,300,5,37.330502,-77.210056,-9,-9,110,116,126,126,192,200,195,195
ClosedCanopy,300,6,37.330502,-77.210056,162,180,104,124,126,126,184,200,179,195
ClosedCanopy,305,0,37.330375,-77.209486,154,170,122,124,126,126,188,192,181,195
ClosedCanopy,305,1,37.330375,-77.209486,154,160,-9,-9,126,126,188,200,-9,-9
ClosedCanopy,305,2,37.330375,-77.209486,154,158,-9,-9,126,126,182,188,-9,-9
ClosedCanopy,432,0,37.331019,-77.209862,180,188,112,114,126,126,198,202,179,193
ClosedCanopy,432,1,37.331019,-77.209862,-9,-9,112,112,126,132,-9,-9,179,185
ClosedCanopy,432,2,37.331019,-77.209862,-9,-9,112,112,126,126,-9,-9,-9,-9
ClosedCanopy,432,3,37.331019,-77.209862,160,180,112,112,-9,-9,202,202,193,193
ClosedCanopy,432,4,37.331019,-77.209862,160,180,112,112,124,126,192,198,179,185
ClosedCanopy,432,5,37.331019,-77.209862,160,180,114,114,126,126,-9,-9,-9,-9
ClosedCanopy,432,6,37.331019,-77.209862,160,180,112,112,122,126,-9,-9,179,179
ClosedCanopy,432,7,37.331019,-77.209862,164,180,112,116,126,126,196,198,185,193
ClosedCanopy,432,8,37.331019,-77.209862,164,188,112,120,124,126,202,202,193,193
ClosedCanopy,432,9,37.331019,-77.209862,154,180,-9,-9,124,126,-9,-9,-9,-9
ClosedCanopy,432,10,37.331019,-77.209862,180,180,104,112,-9,-9,188,202,193,195
ClosedCanopy,433,0,37.331017,-77.209861,180,188,112,114,126,126,198,202,179,193
ClosedCanopy,433,1,37.331017,-77.209861,-9,-9,110,112,126,126,190,202,179,193
ClosedCanopy,433,2,37.331017,-77.209861,-9,-9,110,112,-9,-9,196,198,185,193
ClosedCanopy,433,3,37.331017,-77.209861,-9,-9,112,112,124,126,-9,-9,-9,-9
ClosedCanopy,433,4,37.331017,-77.209861,160,188,114,114,126,126,198,198,-9,-9
ClosedCanopy,433,5,37.331017,-77.209861,164,188,104,112,-9,-9,-9,-9,179,193
ClosedCanopy,433,6,37.331017,-77.209861,160,180,104,112,126,126,188,202,179,193
ClosedCanopy,607,0,37.330936,-77.208363,154,164,114,114,126,126,188,202,181,181
ClosedCanopy,607,1,37.330936,-77.208363,154,180,114,116,126,126,186,188,181,195
ClosedCanopy,607,2,37.330936,-77.208363,164,180,114,116,126,126,192,202,181,181
ClosedCanopy,607,3,37.330936,-77.208363,154,156,102,114,126,126,188,188,177,181
ClosedCanopy,607,4,37.330936,-77.208363,-9,-9,114,114,126,126,-9,-9,181,193
ClosedCanopy,607,5,37.330936,-77.208363,-9,-9,114,118,126,126,188,188,181,181
ClosedCanopy,607,6,37.330936,-77.208363,154,164,114,118,126,126,-9,-9,181,181
